,nq_open,squad,triviaqa
Llama-3.2-1B,-0.04330175913396481,-0.027956989247311825,-0.0847457627118644
Qwen2.5-1.5B,-0.019448946515397095,-0.016348773841961844,-0.023504273504273476
Qwen2.5-3B,-0.01400560224089635,-0.006507592190889366,-0.012145748987854227
Llama-3.2-3B,-0.0357142857142857,-0.04139433551198257,-0.057142857142857106
Qwen2.5-7B,-0.01714285714285714,0.014084507042253523,0.012096774193548376
