,nq_open,squad,triviaqa
Llama-3.2-1B,0.0004803411999818696,0.0687035743228782,0.0001389646501936866
Qwen2.5-1.5B,0.06407750645105952,0.12133525035848211,0.21586564200583258
Qwen2.5-3B,0.31731050786291415,0.590013887163346,0.5126907602619233
Llama-3.2-3B,0.02945638563257136,0.0037618231327943724,0.11666446478102344
Qwen2.5-7B,0.25683925795785656,0.31731050786291415,0.5774686624272996
